기업명,직무,주요 업무,자격 요건,우대 사항
(주)365위더스,영상 편집자 (나인제트),#NAME?,"- 영상 편집 , 촬영을 진행해본 경험 또는 경력이 1년 이상 있으신 분
- 영상편집기술, 어도비 사용 능력이 중상 이상이신 분
- 1인 기획 및 제작이 가능하신 분",#NAME?
(주)타이드스퀘어,Product UX/UI Designer,"? 타이드 스퀘어 서비스 (프리비아, 투어비스)의 Prototyping, UX 설계 및 UI 디자인
? Data기반의 사용성 검증 및 가설 설정, Pain-Point해결, 실험 설계 및 실행","? 5년 이상의 프로덕트 디자인(UI/UX) 경력 또는 그에 준하는 경험을 보유하신 분
? 사용성 및 비즈니스에 대한 높은 이해도를 바탕으로 하는 UI/UX 설계 능력
? 유관부서 및 직군과 원활한 커뮤니케이션 능력 (문제 해결 중심의 협업)
? Figma, Adobe, Zeplin 등 디자인툴에 대한 경험과 높은 이해도
? 정성적/정량적 데이터에 기반한 디자인으로 서비스를 개선해본 경험이 있는 분
? 고객이 겪는 문제에 공감(Empathy)하고 유저 중심으로 문제를 해결 할 수 있는 분
? 디자인 시스템의 가치와 원리를 이해하고 활용할 수 있는 분
? 다양한 플랫폼(모바일앱 & 웹) 디자인 경험","? 기획부터 런칭까지 제품을 직접 설계하고 출시해본 경험
? 프로젝트 리딩 및 매니지먼트 경험
? 여행 서비스(OTA) 또는 이커머스(E-Commerce) 프로젝트 경험이 있으신 분
? 다양한 플랫폼의 디자인을 경험하신 분 (모바일 Web/App, PC web 등)
? 디자인 시스템 설계 또는 협업 경험이 있으신 분
? A/B 테스트를 통해 서비스를 개선한 경험이 있으신 분
? UT(사용자 테스트), 포커스그룹 인터뷰, 설문조사 등 다양한 유저 리서치를 실행할 수 있는 분"
태그바이컴퍼니(주),"인플루언서 커머스 MD, AMD (신입~3년차)","? 브랜드와 인플루언서를 매칭하여 매출을 만들어내는 팀입니다.
? 플랫폼에서 활동하는 인플루언서들이 선호할만한 상품을 소싱하고 관련 벤더 입점을 진행합니다
? 인플루언서들의 컨셉과 타겟을 반영하여 적합한 제품을 제안하고 공동 구매를 기획합니다
? 라이브커머스, 프로필 링크 등 인플루언서와 연관된 다양한 커머스 업무를 진행합니다",없음,"플랫폼 혹은 벤더사 MD 경력이 있는 분
? 매출을 만들어낼 역량과 감각이 있으신 분
? 협업 및 커뮤니케이션 역량이 뛰어난 분
? 업무를 진행함에 있어 주도적인 분
? 책임감이 강하고 성실한 분
? 업무에 대해 무서워 하지 않고 당차게 들이댈수 있는 분
? 그리고 무엇보다도 저희와 코드가 맞는 분
(일 외에는 간섭안하고, 일을 통해서 자신을 완성하고자 하는 분)"
잡플래닛,PR 매니저,"[주요업무]
? 매체와의 커뮤니케이션 전략 수립 및 대응 업무
? 산업 및 경쟁사 트렌드/현황 등 파악
? 회사 리스크 관리 및 운영 기획
? 보도자료 기획 및 작성, 배포
? 출입 기자 관리","[자격 요건]
? 7년 이상의 해당 분야 경력을 보유하신 분
? 현재 PR 트렌드를 파악하고, 전체적인 기사의 맥락을 빠르게 짚어줄 수 있는 분
? 기획력과 스토리텔링이 탁월하신 분
? 커뮤니케이션의 방식,방법,타이밍을 전략적으로 판단 할 수 있는 분","[우대 사항]
? 뉴미디어, 전통미디어에 대한 이해가 뛰어나신 분
? 동종업계(채용/HR/플랫폼) 경력이 많으신 분
? 언론사, 관련기관 등 해당 분야에 네트워크를 다수 보유하고 계신 분"
(주)우원기술,2차전지 관련 기계설계 경력자 채용(신입가능),ㆍ2차전지 관련 기계설계,"ㆍ학력 : 고졸 이상
ㆍ신입 : 3개월 계약직 적용 후 정규직 전환 심사
ㆍ경력 : 경력 2년 ~ 8년(연구원, 주임연구원, 선임연구원급)","ㆍ기계/자동차/조선공학, 공학계열
ㆍ해당직무 근무경험, 인벤터 가능자"
(주)우원기술,IR 매니저,ㆍIPO준비 및 공시/ 이사회 주주총회 운영,"ㆍ자격증 : 변호사 자격증 소지자
ㆍ경력 : IR/전략기획/경영기획/관리회계 관련업무 경력 6년이상","ㆍIPO 경력 또는 IPO 경력 계발에 대한 의지
ㆍ경영진 의사결정관련 서류 작성 경험
ㆍ제조업 기업&산업 분석 경험
ㆍ우수한 서면&구두 communication skill
ㆍAnalytical and finance assessment skill
ㆍ미팅참석&자료검색 가능한 수준의 비즈니스 영어 능력"
(주)우원기술,자동화 설비 기술 영업,ㆍ설비영업 및 매출 관리,"ㆍ학력 : 학사 이상
ㆍ경력 : 신입 및 경력(3년이상)
ㆍ전공 : 이학/공학 계열","ㆍ동종업계 업무 경력자
ㆍ업무 이해가 빠르고 외향적인 성품
ㆍ적극적이고 책임감 있는 업무 성향
ㆍO/A능력 활용 보유자
ㆍ해외출장에 결격 사유가 없는자
ㆍ영어 능통자"
(주)우원기술,기계설계,ㆍ2차전지 제조설비 설계/자동화 장비 설계,"ㆍ학력 : 공고 기계과 졸업자 이상
ㆍ경력 : 신입(사원)/ 동일계통 2년 이상 경력","ㆍ2차전지 제조 설비 경력자 우대
ㆍ자동화설비 경력자 우대
ㆍ기계설계 관련 자격증 보유자 우대
ㆍInventor/AutoCAD 능숙자 우대
ㆍ영어회화 가능자 우대"
(주)우원기술,생산관리,ㆍ2차전지 자동화 설비 Project 제작 및 일정 관리,"ㆍ학력 : 무관
ㆍ경력 : 2년 이상(면접 후 결정)","ㆍ문서작성(MS Office) 가능자
ㆍ2차전지 설비제작 경험자 우대
ㆍ설비제작 외주업체 관리 및 이상 발생 관리 경험자 우대
ㆍProject 제작 및 일정 관리 경험자 우대"
(주)우원기술,설비기술,ㆍ2차전지 자동화 설비 조립 및 셋업,"ㆍ학력 : 무관
ㆍ경력 : 2년 이상","ㆍ자동화설비 조립 및 셋업 경험자
ㆍ도면 및 공압회로도 이해가능 (우대)
ㆍ해외출장 가능자 (미국, 헝가리, 중국등)"
(주)우원기술,비전,ㆍ2차전지 PC비전 S/W 개발,"ㆍ학력 : 무관
ㆍ경력 : 무관","ㆍMFC, C++, Open Evision, MIL 사용가능
ㆍ머신비전 System 개발 및 셋팅경험 우대
ㆍ머신비전 국내/해외 셋업경험 우대"
(주)우원기술,제어 (PLC프로그램),ㆍ2차전지 PLC S/W 개발 및 셋업,"ㆍ학력 : 무관
ㆍ경력 : 무관","ㆍMT Developer, GT Designer, GW-Works3 Motion CPU, Simple Motion 사용가능
ㆍGOT, GP 사용가능
ㆍ해외 출장 셋업경험 우대"
차봇모빌리티(주),B2B 플랫폼 영업 담당자,"■ 어떤 포지션으로 합류하나요?
? 차봇 B2B(딜러)회원들을 대상으로 하는 [차봇 프라임], [차팀장]의 서비스 운영자로서 신차, 중고차 딜러에 맞는 플랫폼 서비스를 세일즈하고 운영해요.


■ 합류하게 된다면 어떤 팀에서 일하게 되나요?
? 차봇 B2B회원들을 대상으로 하는 [차봇 프라임], [차팀장]을 운영하는 플랫폼 사업팀에 소속돼요.


■ 경력 수준은 어떻게 되나요?
?모빌리티 업계에서 영업 및 마케팅 업무를 5년이상 경험해 보신 분.


■ 플랫폼 사업팀에 대해 더 설명해주세요.
? 차봇 비즈니스 유닛은 자동차 금융/보험과 관련한 비즈니스 영역을 중심으로 신차 및 중고차 매매, 탁송, 차량 정보조회 등의 서비스를 제공하고 있는 B2B 플랫폼 전반을 총괄적으로 담당해요. 다양한 서비스의 기획,운영,영업 활동을 하며 차봇 매출을 책임지고 있는 한명 한명이 일당백인 플랫폼 사업팀이에요.


■ 플랫폼 사업에 합류하면 이런 일을 해요.
? 차봇 딜러 회원용 플랫폼인 [차봇 프라임], [차팀장]에 대한 외부 영업 및 마케팅 업무를 진행해요.
? 신차 및 중고차 딜러 회원의 니즈 파악 및 분석을 통하여 사용성을 개선하고 Benefit 제공 방향성을 도출해요.
? 신규 서비스 기획과 기존 서비스 개선을 통해 매출을 올릴 수 있는 방안을 모색해요.
? 데이터 기반 마케팅 전략을 수립하고 채널별 프로모션을 집행해요.
? 플랫폼을 통해 발생되는 매출을 정산하고 성과를 분석해요.","■ 이런 경험과 역량을 가진 분을 찾고 있어요.
? (필수) 자동차 산업 및 거래 시장에 대한 이해가 높거나 관심을 가질 준비가 되어 있으신 분
? 앱 서비스 운영에 대한 경험과 퍼포먼스 마케팅에 대한 이해가 있으신 분
? 원활한 커뮤니케이션 역량을 바탕으로 적극적인 협업이 가능하신 분
? 어려운 문제를 직면하였을 때에 해결할 수 있는 역량을 가지고 계신 분
? 금융/보험 산업에 대한 호기심이 많고 배우고자 하는 자세를 보유하신 분",
(주)어크로스비,DevOps 엔지니어,"어떤 역할을 하게 되나요?
? 클라우드 인프라 운영 및 개선
? CI/CD 개선
? 로깅 및 모니터링 시스템 구축

현재 어떤 기술을 사용하고 있나요?
? AWS : ECS, ECR, Lambda, CloudFront, DynamoDB, RDS, OpenSearch, EventBridge, SQS, Kinesis
? GitHub Actions
? 그밖의 관련 tools : Jira, Slack","? AWS 등 클라우드 환경의 인프라 구축/운영 경험
? 리눅스, 네트워크에 대한 깊은 이해
? 컨테이너 환경에서의 서비스 운영 경험
? IaC의 경험
? 자동화를 위한 스크립트 작성 능력","? 다양한 AWS 서비스 사용 경험
? Terraform/Terragrunt 사용 경험
? Github Actions 사용 경험
? Datadog 사용 경험
? 다양한 배포 방식 운영 경험 (Canary, blue/green 등)"
(주)어크로스비,물류운영팀 Account Manager,"? 어크로스비 플랫폼을 활용하여 담당 고객의 Cross border E-commerce (글로벌 셀링)
물류 운영
? 글로벌(미국, 일본, 유럽, 동남아) 풀필먼트센터 관리
? 수출입 포워딩
? 고객 커뮤니케이션 및 VOC 처리
? 수출입 및 물류관련 이슈 대응
? 정산 업무","? 최소 2년 이상의 물류 운영(해상 또는 항공 포워딩 또는 특송, 화주 물류운영) 경험이 있으신 분
? 고객과의 커뮤니케이션을 즐기며 해결안을 제시할 수 있으신 분
? 주도적인 의사 결정과 팀원과의 원활한 커뮤니케이션이 가능한 분","? 글로벌 특송 (UPS, Fedex 등) 및 물류 프로그램 경험자
? 종합물류사, 포워더사, 물류스타트업에서 일해 보신 분
? 온라인 판매나 글로벌 셀링에 관심이 많으신 분
? E-commerce , 물류 산업에 관심이 많으신 분"
월급쟁이부자들(주),QA 엔지니어 (QA Engineer),"? 모든 프로덕트의 품질 검수
? 프로덕트 조직 내 협업을 통해 올바르게 배포 주기 관리 및 가이드
? 제품 기획/시나리오 이해를 기반으로 한 서비스 품질 향상/피드백
? 업무 효율화를 위한 QA 프로세스 개선방안 도출 (기술 발굴/도입, 자동화)
? TC 작성 및 TC 기반의 전사 QA 주도","? 5년 이상의 QA 엔지니어링 경력을 보유하신 분
? 애자일/스크럼 개발 프로세스에 대한 높은 이해도를 보유하신 분
? 모바일/웹서비스 제품의 QA 경험이 있으신 분
? QA 프로세스를 수립/구축한 경험이 있으신 분
- 일정 협의 / QA 계획 수립 / TC작성 / 테스트 수행 / 버그 리포팅 / 테스트 결과 공유 등
? QA 엔지니어/테스트 엔지니어의 역할에 대한 높은 이해도를 보유하신 분
? 개발, PO, UX 디자이너 등 구성원들과 원활한 커뮤니케이션이 가능하신 분","? 테스트/자동화 영역을 구분 및 제안하여 업무 효율성을 높이신 분
? Selenium, Appium 등 툴을 활용한 자동화 경험이 있으신 분
? 커머스/교육 플랫폼에 대한 QA 수행 경험을 보유하신 분
? CI/CD에 대한 전반적인 이해와 인프라 아키텍처의 흐름을 이해할 수 있으신 분
? 소프트웨어 테스팅 관련 자격증(e.g. ISTQB, CSTS)을 보유하신 분
? 개발 경험이 있으신 분
? 빠른 서비스 배포주기에 맞춰 적합한 QA Process를 제안/개선한 경험을 보유하신 분"
월급쟁이부자들(주),백엔드개발 리드,"? 월부닷컴 서비스 리뉴얼 및 고도화 관련 전체 프로덕트 개발 과정 참여(기획/론칭/운영 등) 및 서버 운영/관리
? 기존 LMS 기반 커머스 리뉴얼 및 신규 서비스 확장을 위한 백엔드 개발/운영
? 월부닷컴 사용자/어드민 기능 제공을 위한 API 개발
? AWS 서버 운영/관리 및 배포 자동화
? 기술스택
- Spring/Kotlin, AWS, JPA, ECS EKS
? DDD, clean architecture 지향 코드 리팩토링
? 테스트 코드 작성 및 점진적인 테스트 주도 개발
? 개발 일정 관리 및 조직 매니지먼트","? 백엔드 개발 7년 혹은 그에 준하는 역량을 보유하신 분
? Springboot(Java/Kotlin)를 이용하여 웹 서비스 개발이 가능하신 분
? 능숙하게 다루는 2개 이상의 프로그래밍 언어를 보유하신 분
? DB 설계·적용·활용에 대한 높은 이해도를 보유하신 분
? 유지보수가 쉽고 확장 가능한 코드 설계에 대한 끝 없는 욕심을 갖고 계신 분
? 새로운 기술에 관심이 많고 꾸준히 스스로 학습하시는 분","? 커머스/교육 플랫폼 설계, 개발, 운영 경험을 보유하신 분
? 웹 서비스 제품 전체 개발 프로세스에 주도적으로 참여한 경험을 보유하신 분
? 대용량 실시간 애플리케이션/시스템 아키텍쳐 관련 높은 수준의 역량과 경험을 보유하신 분
? AWS 인프라 운영 경험을 보유하신 분
? 시니어로서 중간관리자의 역할 수행이 가능하신 분"
(주)후지타서울지점,건축 현장관리 경력,ㆍ건축 시공 및 현장관리,"ㆍ학력 : 대졸 이상
ㆍ경력 : 1년 이상","ㆍ관련 학과 및 자격 소지자 우대
ㆍ일본어 가능자 우대"
(주)후지타서울지점,건축 공무 경력,ㆍ건축 공무 업무,"ㆍ학력 : 대졸이상
ㆍ경력 : 1년이상","ㆍ관련 학과 및 자격 소지자 우대
ㆍ일본어 가능자 우대"
(주)후지타서울지점,전기부문 담당자 경력,"ㆍ건축 현장관리(전국)
ㆍ전기 시공관리(전국)","ㆍ학력 : 대졸이상
ㆍ경력 : 2 ~ 8년","ㆍ해당경력 2년 이상
ㆍ관련 학과 및 자격 소지자 우대
ㆍ일본어 가능자 우대"
(주)스텝페이,서비스 기획 (3년차 이상),"[스텝페이에서 이런 일을 하시게 됩니다]
? 스텝페이 서비스 정책 수립 및 기획
? 데이터 분석 & 고객 니즈 검토를 통한 문제 정의 및 개선안 도출
? 다양한 대/내외 이해관계자와의 커뮤니케이션 및 프로젝트 매니지먼트
? 경쟁 서비스 분석 및 시장 조사 바탕으로 계획 수립

[일할 때에는]
? 협업 툴로는 Google Apps, Notion, Slack, Clickup, Figma 를 사용합니다.
? 모든 일은 OKR - LEAN - SPRINT - MEASURE 단계로 이루어집니다. 스타트업의 프로세스를 제대로 경험할 수 있습니다.

[기획 팀은 어떻게 일하나요?]
? 고객 문의, 영업 기회, 시장조사 및 데이터분석, 전사/팀 논의 등을 기반으로 개선/신규 기능에 대해 우선순위를 설정합니다.
? 기능 출시는 OKR 단위로 정해지며, OKR 에 따라 팀이 구성됩니다.
? 정책에 대한 논의는 리드하되, 사안에 따라 전사 팀 혹은 OKR팀이 함께 결정합니다.
? 서비스 기획 단계에서 다양한 대/내외 이해관계자의 의견을 수립해서 프로세스를 결정하고, 버전 범위를 나눕니다.
? 상세 기획 단계에서는 디자인팀과 Figma 기반으로 협업합니다.
? 유저 시나리오 기반으로, 개발 과정에서 기획 의도대로 진행되는지 기획이 누락되거나 잘못된 사항은 없는지를 커뮤니케이션하며 함께 체크합니다.
? 서비스 개선 혹은 신규 기능 릴리즈 후, 사용성에 대해 모니터링하며 개선점을 캐치합니다.","? 가장 중요한 건, ""어떻게 하면 고객에게 더 큰 가치를 제공할 수 있을까?""를 끊임없이 고민하고 실행하고 싶은 마음과 성장하려는 마음! 늘 이런 것에 대해 고민하고 계시다면 저희와 함께 해요!

? 자격 요건: 3년 이상의 PM 또는 서비스 기획 및 운영 경험자
? 학력: 학력 무관
? 근무 요건: 정규직
- 서로에 대해 잘 알아보기 위해 입사 후 3개월 수습기간이 있습니다. (수습기간 급여 100%)","[아래 경험이 있다면 우대해드립니다]

- 핀테크 혹은 SaaS 분야의 경험자 혹은 그에 준하는 지식을 보유하신 분
- 결제 및 SaaS 관련 서비스/ 백오피스 기획 경험이 있으신 분
- 스스로 목표를 설정하고 적극적이고 진취적으로 프로젝트를 진행하실 수 있는 분
- 기획부터 서비스 출시까지의 전 사이클을 경험해보신 분
- 논리적인 사고로 의사결정을 하실 수 있는 분
- 가설 기반으로 테스트를 통해 고객 중심의 서비스 개선 경험을 보유 하신 분


[공통 우대사항]
? 평균 연령 29.8세와 어울릴 수 있는 정신연령 혹은 드립력의 보유자
? 문제에 봉착했을 때 끝까지 해결해내는 근성을 가지신 분
? 성장하고자 하는 욕구가 강하신 분
? 새로운 서비스에 관심이 많고, 시도해보는 것이 즐거우신 분
? 스타트업 문화에 관심이 많으며 적극성을 가지신 분"
(주)스텝페이,"콘텐츠 마케터 (영상PD, 1-5년차)","[메인 업무]

- 소셜미디어 영상, 이미지 콘텐츠 제작
- 뉴스레터, 소셜미디어 채널 관리
- 스텝페이의 다양한 메뉴얼, 홍보 영상, 이미지 제작

[서브 업무]

- 브랜드 캠페인 지원
- 다양한 브랜딩 활동 지원


[일할 때에는]

- 업무 툴: 어도비 프리미어, 애프터이펙트, 포토샵, 일러스트 등
- 협업 툴: Google Apps, Notion, Slack, Clickup, Figma 등
- 모든 일은 OKR - LEAN - SPRINT - MEASURE 단계로 이루어집니다. 스타트업 프로세스를 제대로 경험할 수 있습니다.","? 나이: 제한없음
? 학력: 무관
? 연차: 1~5년차
? 근무 요건: 정규직 (3개월 수습 기간 포함)","- 이미지, 영상 콘텐츠를 기획, 촬영, 제작 까지 직접 수행해보신 분
- 소셜미디어 채널 운영 경험이 있으신 분
- 스타트업 콘텐츠 제작 경험 혹은 B2B SaaS 콘텐츠 제작 경험을 보유하신 분
- 데이터를 기반으로 한 콘텐츠, 마케팅 이해도가 있으신 분

[공통 우대사항입니다]

- 평균 연령 29.8세와 어울릴 수 있는 정신연령 혹은 드립력의 보유자
- 문제에 봉착했을 때 끝까지 해결해내는 근성을 가지신 분
- 실패를 두려워 하지 않고 끝까지 도전하는 분
- 새로운 서비스에 관심이 많고, 시도해보는 것이 즐거우신 분
- 다른 직군에도 관심을 갖고 다양한 의견을 제시하고 수용하는 분
- 스타트업 문화에 관심이 많으신 분"
(주)바잉스퀘어,오퍼레이션 매니저,"아래 업무 중 일부를 담당하신 분들도 지원이 가능합니다.
? 인보이스 : 수출입 인보이스 발행 관리
? 물류/결제 : 해외 송금 및 국내외 포워더, 캐리어 관리
? 통관/배송 : 선적 주요 정보 및 주요 운임, 선적 일정 관리","? 경력 5년 이상 7년 미만
? 영문 메일 소통 가능자
? 업무 관련 유관부서 및 공급사와 원활한 커뮤니케이션 역량 보유하신 분
? 학력 무관","? 유통/무역/물류 관련 자격증 혹은 직무를 경험한 분
? 패션/라이프스타일/뷰티 산업에 관심있는 분"
(주)바잉스퀘어,시니어 소싱 매니저,#NAME?,"- 패션/뷰티/라이프스타일 브랜드 바잉 MD 또는 브랜드 소싱 경력 10년 이상
- 해외 공급사와 커뮤니케이션 역량 필수 (영어 필수)
- 업무 관련 유관부서 및 공급사와 원활한 커뮤니케이션 가능한 분
- MS OFFICE (Excel, PPT, Word) 사용 가능한 분",#NAME?
(주)바잉스퀘어,세일즈 시니어 매니저,"ㆍ 회사 목표에 따른 조직운영 및 전략수립
ㆍ 담당 조직 내 리오더/시즌오더 관리 및 거래처 관리 총괄
ㆍ 글로벌 럭셔리 패션/뷰티 브랜드의 해외 공급사와 커뮤니케이션
ㆍ B2C 기업의 바이어 대상으로 B2B 세일즈 커뮤니케이션
ㆍ 글로벌 패션 브랜드 현지 파트너 신규 발굴 및 기존 파트너 관리
ㆍ 거래처 매출 분석 및 리스트 관리
ㆍ 시장데이터 및 트렌드 분석을 통해 바이어에게 제안","ㆍ 패션/뷰티 브랜드 또는 유통사 영업/영업MD/바잉MD 경력 10년 이상
ㆍ 데이터 관리 및 분석 업무 실무 가능자
ㆍ 패션 브랜드 바잉 MD 경력 5년 이상
ㆍ 리더경험자
ㆍ 영어 or 이태리어로 해외 공급사와 커뮤니케이션 가능한 분
ㆍ 업무 관련 유관부서 및 공급사와 원활한 커뮤니케이션 역량 보유하신 분","ㆍ 대기업 조직경험과 스타트업 조직경험 보유한 분
ㆍ 유연한 사고와 적극적인 커뮤니케이션 선호하시는 분
ㆍ Google Workspace, Slack, Notion 사용 가능한 분"
(주)라텔앤드파트너즈,UI/UX/서비스 기획자 (경력),#NAME?,"- 전략적, 논리적, 창의적 사고 및 문서 작성 능력 필요
- 다양한 유관부서 (개발자, DBA, 디자이너, 마케터 등) 와의 협업에 능하신 분
- 경력 5~10년 (과장급)
- 학력/전공/성별 : 무관
- 해외여행에 결격사유가 없는 자",#NAME?
티핏클래스(주),글로벌 화장품 브랜드사 해외 인플루언서 마케터 채용,"- 브랜드에 적합한 해외 인플루언서 섭외 및 관리 (영어권 & 글로벌 국가)
- 인플루언서 릴레이션십을 통한 협업 체계 구축
- 제품 홍보를 위한 매체 별 시딩 및 모니터링
- 일본 공식 SNS(IG, Tiktok, TW, FB, Youtube)콘텐츠 업로드 및 관리
- 인플루언서 마케팅에 필요한 제품 브리핑 자료 작성(영문)
- 해외 뷰티 시장 트렌드 분석",#NAME?,#NAME?
티핏클래스(주),글로벌 화장품 브랜드사 일본 인플루언서 마케터 채용,"- 브랜드에 적합한 일본 인플루언서 섭외 및 관리
- 인플루언서 릴레이션십을 통한 협업 체계 구축
- 제품 홍보를 위한 매체 별 시딩 및 모니터링
- 일본 공식 SNS(IG, Tiktok, TW, FB, Youtube)콘텐츠 업로드 및 관리
- 인플루언서 마케팅에 필요한 제품 브리핑 자료 작성(일문)
- 일본 뷰티 시장 트렌드 분석","- 경력무관 (신입 지원가능)
- JLPT N2급 이상 혹은 JPT 700점 이상 보유하신 분 (한국어 의사소통 가능한 원어민 가능)
- 원활한 커뮤니케이션 능력 보유하신 분
- 일문으로 인플루언서와 서면 (ex. 메신저, 이메일 등) 소통 가능하신 분",#NAME?
티핏클래스(주),글로벌 화장품 브랜드사 상품기획 브랜드 매니저(BM) 경력 채용,#NAME?,"- 뷰티 브랜드 BM 경력 4년 이상이신 분
- 상품기획력과 소통 능력이 뛰어나신 분
- 뷰티 및 SNS 트렌드에 관심이 많고, 이를 활용할 수 있으신 분
- 포트폴리오 제출",#NAME?
(주)브레이브모바일,Sr. Graphic Designer,"[포지션 정보]
? 소속 팀: Marketing Team / Graphic Design Chapter
? 고용 형태: 정규직 (3개월 시용 기간)근무 시간: 주 5일 (월~금), 탄력근무제 운영 (오전 8시~11시 자율 출근), 주 40시간 근무제 운영

[합류 직후 이런 일을 해요]
? 마케팅 활동에 필요한 광고 소재, 콘텐츠 디자인, 이벤트 모달 및 배너 그리고 영상 썸네일과 영상 편집까지의 전방위적인 디자인 활동을 전개합니다
? 다양한 이해관계자들과의 협업을 통해 기획서, 카테고리 아이콘 그리고 채용과 관련된 디자인 작업을 담당합니다
? 업무의 우선순위와 리소스를 고려하여 효율적인 챕터 운영 방법론을 고민하고 실행합니다

[장기적으로 이런 일도 할 수 있어요]
? 숨고 생태계의 방향성을 고려한 브랜드 디자인 프로젝트을 리딩합니다
? 숨고의 정체성을 담은 그래픽 에셋 가이드라인을 개발하고 고도화합니다
? 챕터 구성원들의 디자인 퀄리티를 향상시킬 수 있는 방법을 고민하고 장기적인 성장 동력을 제공합니다

[기술 스택 &사용 툴]
? Adobe, Illustrator, Photoshop, Figma, Adobe After Effects, Premiere Pro, Slack, Confluence, Jira","[자격 요건]
? 5년 이상의 그래픽 디자인 실무 경험을 보유하신 분
? 그래픽 디자인 작업 툴(Adobe Photoshop, Illustrator 등)에 대한 높은 숙련도를 바탕으로 구성원들에게 가이드라인을 제시할 수 있는 분
? 높은 수준의 디자인 표현력을 기반으로 광고 소재를 제작하고 이에 대한 성과를 측정해 본 경험이 있으신 분
? Adobe After Effects, Premiere Pro 등을 활용하여 영상 컷 편집 및 간단한 모션그래픽 작업이 가능하신 분
? 산업디자인, 시각디자인, 회화 등 디자인 관련 학위를 보유하셨거나 이에 준하는 이론적 지식을 갖추신 분
? 마케팅 관점에서의 정량적인 성과 지표를 이해하고 이를 디자인에 적용해 본 경험이 있으신 분","[우대사항]
? 3명 이상의 그래픽 디자이너로 구성된 조직에서 3년 이상의 업무 경험을 보유하신 분
? IT 스타트업(O2O, 매칭 플랫폼 및 커머스)에서의 업무 경험이 있으시거나 이에 준하는 이해도를 보유하신 분
? 다양한 이해관계자들과 유려한 커뮤니케이션이 가능하신 분
? 영상 콘텐츠, 3D 그래픽 작업이 가능하신 분
? 브랜딩에 대한 다양한 디자인 경험을 바탕으로 비즈니스에 긍정적인 임팩트를 가져온 경험이 있으신 분
? 디자인 팀의 팀 빌딩 혹은 팀 리딩 경험이 있으신 분
? 디자인 관점에서 개선점을 파악하고 이를 서비스에 반영해 본 경험이 있으신 분
? 숙련도 높은 드로잉 소스(손그림) 제작이 가능하신 분
? 고객의 니즈와 데이터에 근거하여 문제를 정의하고 이를 디자인 관점에서 해결해본 경험이 있으신 분"
(주)솔루엠,구매/해외소싱 직원 채용,"담당업무
ㆍ조달/개발구매 (반도체/수동소자)
ㆍ시스템구매, 혁신활동 경력

직무개요
ㆍ본사에서 ERP를 통한 발주/납기 관리
ㆍ가격결정, 업체소싱 등 개발구매
ㆍ시스템구매 정착을 위한 혁신활동","지원자격 : 신입/경력 3년 이상(팀원급)
ㆍ조달/개발구매 신입, 대리, 과장급
ㆍ혁신활동 경력자 과장, 차장, 부장급
ㆍ조달/개발구매 업무 경험자
ㆍERP시스템을 활용한 구매업무 경험자 또는 전문가
ㆍ구매 ERP를 통한 시스템 자동발주경험자
ㆍ시스템 구매업무를 정착시킬 수 있는 적임자","ㆍTOEIC 850급(점) 이상, HSK 5급(점) 이상,
베트남어 OPIC IM1급(점) 이상"
(주)솔루엠,"(주)솔루엠 서무 경력, 신입 채용(계약직)","ㆍ비품관리 및 전표 작성
ㆍ문서작성 및 사무보조
ㆍ매월 임직원 경비 및 고정 지출 비용 처리
ㆍ부서장 및 팀 행정업무 지원","ㆍ학력 : 대졸 이상 (2,3년)
ㆍ경력 : 신입/경력 (년수무관)",ㆍ해당직무 근무경험
(주)부스트랩,커뮤니티 인플루언서 마케터,#NAME?,"(필수) Skillset
- 커뮤니티, 인플루언서 커머스 및 협찬 관련 경력이 1년 이상이신 분
- 인플루언서 마케팅 기획 및 컨텐츠 디렉팅이 가능하신 분
- 경쟁사 분석 및 트렌드 분석 역량이 있으신 분


(필수) Mindset
ㆍ다양한 이해관계자들과 원활한 커뮤니케이션이 가능하신 분
ㆍ피드백에 대하여 긍정적으로 받아들이고 개선하려는 의지가 있는 분
ㆍ주도적으로 배우고자 하는 의지가 있는 분",? 유관업계 (미디어커머스/브랜드) 마케팅 경험이 있으신 분
(주)아이브릭스,IT 솔루션 영업(7년 이상),"ㆍ자사 IT 솔루션 영업 및 영업관리(빅데이터처리, 검색, 챗봇, 언어처리)
ㆍ신규 거래처 개발
ㆍ영업관리 및 고객관리","ㆍ대졸이상(2,3년)
ㆍ경력 7년 이상(과장급 이상 ~ 차장급 이하)
ㆍIT 및 SI 솔루션 영업 경험이 있으신 분
ㆍ신규 영업 및 영업관리 가능하신 분","ㆍ인공지능 분야 또는 동종업계( 검색, 챗봇, 분석)영업 경험이 있으신 분
ㆍ공공기관 대상 영업 경험이 있으신 분
ㆍ금융 분야 영업 경험이 있으신 분
ㆍIT솔루션에 대한 이해가 있으신 분
ㆍ전산관련 전공하신 분"
(주)아이브릭스,솔루션 개발 및 구축,"? 솔루션 개발 및 구축
? 검색, 추천, 챗봇 솔루션 구축 프로젝트 수행","? 경력 3년 이상
? JAVA 및 Spring 기반 웹 개발 가능한 분
? Node.js 개발 가능한 분","? ELK 스택, 오픈소스에 조예가 있는 분
? 정보처리기사 또는 SCJP등 자격증 보유한 분"
